shortname,Jname,FINALNUM,FINAL,Spt_unc,TAGS,Code,Comment,USEVERSION,USECOLOR,Keep/Skip/maintain,extra1,extra2,Disc,Spec,ID,Priority,Type,Dist_J,Dist_W2,RA SXG,DE SXG,Jdesignation,catWISE RA,catWISE Dec,i,ei,z,ez,y,ey,opt ref,W1,eW1,W2,eW2,Y,eY,J,eJ,H,eH,K,eK,NIR ref,plx,eplx,plx_ref,PMRA,ePMRA,PMDE,ePMDE,PM_ref,PMTot,Vtan,Phototype,Spectral Type,SpT_Comments,Spectrum Date,Spectrum Instrument,Spectrum Observers,Submitted Name,SIMBAD,Vizier,IRSA_Finder,GSA,wiseview,BΣ_distance_Checkup,BΣ_distance,BΣ_PROB,BΣ_YMGs,BΣ_Hyp,Date Added,NumType,In BASS UltraCool,Flags,Notes
1915-0600,J191543.85-060041.9,10.0,L0,1,d,NewDisc,check youth ind,,,k,,,EastonH,EastonH,3849.0,DONE,M9,88.9 pc,59.9 pc,19:15:43.85,-06:00:42.0,J191543.85-060041.9,288.93272,-6.0116599,,,,,,,,13.851,0.014,13.713,0.014,,,15.942,0.009,,,14.654,0.011,VHS,,,,40.4,4.3,-372.9,4.3,PS1 (Adam),375.0,106.4,15.0,M9,young?,240812.0,SpeX Prism,"Rothermich, Bickle",Vidar87,SIMBAD,VizieR,FC,GSA,wiseview,NOT OK,16.1,98.5,ABDMG,ABDMG,220426.0,9.0,,YMG,
1915+4149,J191531.21+414924.6,16.0,L6,2,d,NewDisc,,,,k,,,EastonH,EastonH,703.0,DONE,L5.5,34.7 pc,41.1 pc,19:15:31.21, 41:49:24.6,J191531.21+414924.6,288.880056,41.8235077,,,,,,,,14.18,0.013,13.981,0.012,18.372,0.017,16.115,0.011,15.421,0.01,14.886,0.013,UHS DR3,,,,-22.6,1.8,73.5,1.8,UHS DR3,76.9,15.0,15.6,L5.5,red,240613.0,SpeX Prism,Rothermich,Sam Goodman,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180131.0,15.5,,,
1927+0038,J192700.38+003849.1,21.5,T1.5,1,d,NewSpec,,,,k,,,JDK23,EastonH,3208.0,DONE,T1.5,24.9 pc,37.1 pc,19:27:00.38, 00:38:49.2,J192700.38+003849.1,291.751589,0.6469865,,,,,,,,15.397,0.026,14.883,0.035,,,16.612,0.016,16.145,0.024,15.987,0.035,UHS DR3,,,,168.1,2.1,-94.3,2.1,UHS DR3,192.7,33.9,20.0,T1.5,blue,240619.0,SpeX Prism,Rothermich,"Sam Goodman, Dan Caselden",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,210324.0,21.5,,,
1931-0143,J193150.90-014358.7,18.0,d/sdL8,1,sd,NewDisc,careful L7/L8,,,k,,,EastonH,EastonH,333.0,DONE,L7,29.7 pc,39.8 pc,19:31:50.90,-01:43:58.7,J193150.90-014358.7,292.9620933,-1.7329837,,,,,,,,14.635,0.016,14.247,0.018,18.688,0.02,16.462,0.009,15.933,0.173,15.453,0.017,"VHS, 2MASS reject (H), PS1",,,,-36.4,5.9,329.4,5.9,PS1 (Adam),331.4,62.6,18.0,L7,d/sd,240613.0,SpeX Prism,Rothermich,"Sam Goodman, Dan+Guillaume, Melina T",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,17.0,,,
1947+1035,J194716.06+103523.2,11.0,L1,1,d,NewSpec,,,,k,,,CR18,EastonH,960.0,DONE,L1,41.0 pc,41.7 pc,19:47:16.06, 10:35:23.3,J194716.06+103523.2,296.8169314,10.5898013,,,,,,,,13.565,0.017,13.324,0.014,17.104,0.01,15.085,0.006,14.398,0.049,13.848,0.005,"UHS DR3, 2MASS (H), PS1",22.243,0.684,GaiaDR3,49.5,0.6,-62.2,0.5,GaiaDR3,79.5,16.9,11.0,L1,,230730.0,SpeX Prism,Rothermich,Melina ThÈvenot,SIMBAD,VizieR,FC,GSA,wiseview,OK,31.6,96.6,BPMG,BPMG,,11.0,,YMG,L0.5 phototype in Reyle 2018
1951-1348,J195150.85-134841.5,24.0,T4,1,d,NewSpec,,,,k,,,JDK23,EastonH,484.0,DONE,T4,19.3 pc,23.3 pc,19:51:50.85,-13:48:41.6,J195150.85-134841.5,297.9618862,-13.8115523,,,,,,,,15.34,0.02,14.212,0.018,18.857,0.093,15.826,0.006,15.573,0.105,15.545,0.02,"VHS, 2MASS (H), PS1",,,,-141.3,8.6,-217.1,8.6,PS1 (Adam),259.0,28.6,23.4,T4,,20220907.0,Keck NIRES,Burgasser & Gerasimov,"stevnbak, NibiruX, Arttu Sainio, Sam Goodman, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180219.0,24.0,,,
1956+5922,J195604.40+592226.3,10.0,d/sdL0,2,sd,NewDisc,check ind,,,k,,,EastonH,EastonH,237.0,DONE,M8,205.7 pc,105.7 pc,19:56:04.40, 59:22:26.3,J195604.40+592226.3,299.0183327,59.3739857,,,,,,,,14.632,0.013,14.428,0.014,18.283,0.025,16.182,0.012,15.498,0.013,14.937,0.014,UHS DR3,,,,134.1,3.3,228.4,3.3,UHS DR3,264.8,132.7,10.5,M8,odd spectrum,190913.0,Keck NIRES,Burgasser et al.,"planetsam, fkiwy, guyepeak",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,8.0,,COLOR_OUTLIER,
2003-1422,J200304.70-142228.9,10.0,L0beta,1,y,maintain,,,,m,r,"same spec, not contaminated, keep for color",AR24,AR24,1623.0,DONE,L0,51.5 pc,45.7 pc,20:03:04.71,-14:22:28.9,J200304.70-142228.9,300.7696229,-14.3747026,,,,,,,,13.709,0.034,13.385,0.029,,,15.366,0.009,14.575,0.059,14.145,0.012,"VHS, 2MASS (H)",17.547,0.825,GaiaDR3,29.0,0.9,-101.6,0.6,GaiaDR3,105.6,28.5,12.3,L0,,210910.0,SpeX Prism,"Jackie,Emily,Austin","StarBoy, Melina_T",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200424.0,10.0,,COMOVER,"co-mover in Gaia (sep=45""); (300.75662701082        -14.37496918791); primary likely early-/mid-M, possibly young based on elevated CMD position"
2012+7017,J201221.32+701740.2,24.5,T4.5,1,d,maintain,,,,m,r,"same 2019 spec, no issue. keep for color","RG12, Azul",JDK21,238.0,DONE,T4.5,24.3 pc,23.2 pc,20:12:21.33, 70:17:40.2,J201221.32+701740.2,303.0888727,70.294507,,,,,,,,15.967,0.024,14.29,0.015,18.815,0.028,16.354,0.121,16.048,0.216,16.784,0.0,"2MASS, PS1",46.6,5.0,Kirk21,11.3,1.4,86.4,1.7,Kirk21,87.1,8.9,24.9,T4.5,,191113.0,DCT NIHTS,Cushing,"touches, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,OK,27.7,99.5,CUMA,CUMA,171228.0,24.5,,YMG,
2020-2447,J202044.93-244703.5,4.0,M4,1,d,NewDisc,is this a mistarget?,,,s,r,"not worth keeping, good M4 spectrum though? see if it's useful to anyone else",EastonH,EastonH,963.0,DONE,M3-M4,0.0 pc,0.0 pc,20:20:44.93,-24:47:03.5,J202044.93-244703.5,305.1872289,-24.7843113,,,,,,,,13.709,0.013,13.702,0.014,16.411,0.03,14.919,0.004,14.538,0.051,14.198,0.007,"VHS, 2MASS (H), PS1",11.677,0.222,GaiaDR3,324.0,0.2,-287.6,0.2,GaiaDR3,433.2,175.9,13.2,M3-M4,Maybe a mistarget?,180930.0,SpeX Prism,Faherty students,"Melina ThÈvenot, StarBoy, Herakles",SIMBAD,VizieR,FC,GSA,wiseview,OK,8.4,97.4,CARN(90);ARG(10),CARN,,46085.0,,YMG,CatWISE 2020 reject catalog
2021+1524,J202130.08+152418.0,19.0,d/sdL9,1,sd,maintain,in burgaser25,,,m,,,AJB25,AJB25,2708.0,DONE,L9:,32.0 pc,37.5 pc,20:21:30.09, 15:24:18.1,J202130.08+152418.0,305.3753633,15.4050226,,,,,,,,15.025,0.019,14.528,0.023,,,17.185,0.024,,,15.756,0.03,UHS DR3,,,,-547.0,3.3,-441.2,3.4,UHS (Adam),702.8,125.1,17.0,L9:,blue,230703.0,Keck NIRES,Burgasser & co.,"Dan Caselden, Herakles",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,19.0,,,
2024+0140,J202412.36+014012.8,11.5,L1.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,1625.0,DONE,L2.5,43.5 pc,42.9 pc,20:24:12.36, 01:40:12.9,J202412.36+014012.8,306.0515202,1.6702403,,,,,,,,13.791,0.015,13.549,0.014,,,15.446,0.008,14.678,0.076,14.243,0.008,"UHS DR3, 2MASS (H)",18.97,0.853,GaiaDR3,-17.1,1.0,-68.2,0.9,GaiaDR3,70.3,17.6,13.6,L2.5,blue,230704.0,SpeX Prism,Calamari ,fkiwy,SIMBAD,VizieR,FC,GSA,wiseview,OK,31.6,96.9,CUMA,CUMA,200424.0,12.5,,YMG,
2034+4708,J203437.74+470824.2,11.0,L1,1,d,NewDisc,,,,k,,,EastonH,EastonH,966.0,DONE,L1,35.9 pc,32.4 pc,20:34:37.75, 47:08:24.2,J203437.74+470824.2,308.6572861,47.1400641,,,,,,,,12.985,0.03,12.775,0.042,16.795,0.007,14.791,0.003,14.115,0.002,13.504,0.003,"UKIDSS GPS, PS1",25.588,0.378,GaiaDR3,47.7,0.4,-110.9,0.4,GaiaDR3,120.8,22.4,10.0,L1,,220711.0,Keck NIRES,Burgasser,Melina ThÈvenot,SIMBAD,VizieR,FC,GSA,wiseview,OK,24.9,99.1,CUMA,CUMA,180414.0,11.0,,YMG,SpT based on Gaia parallax
2052+0538,J205247.07+053855.7,21.5,T1.5,2,d,NewSpec,don't use colors,,,k,r,too noisy for colors anyways,AR24,EastonH,1773.0,DONE,T1.5,49.1 pc,40.2 pc,20:52:47.07, 05:38:55.7,J205247.07+053855.7,313.196131,5.6488179,,,,,,,,15.763,0.024,15.057,0.029,,,18.086,0.048,17.305,0.042,16.836,0.077,UHS DR3,16.802,0.022,GaiaDR3,153.8,3.0,-41.6,3.0,UHS DR3,159.3,45.0,19.6,T1.5,low-s/n,230704.0,SpeX Prism,"Burgasser has NIRES spectrum of primary, early M. Rothermich has secondary","Arttu Sainio, Sam Goodman, Dan, MartinKb, Leopold Gramaize",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200930.0,21.5,,COMOVER,"comoving with LSPM J2052+0539 (~60 pc: sep=13""); Gaia data from companion (313.19527335120	+05.65239088467)"
2053+3319B,J205321.65+331931.7,12.0,L2,1,d,NewSpec,what abt A?,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055+0216,J205517.93+021607.4,25.5,T5.5,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,3188.0,DONE,T6,29.2 pc,33.3 pc,20:55:17.94, 02:16:07.5,J205517.93+021607.4,313.8247301,2.2687476,,,,,,,,16.961,0.048,15.424,0.036,,,17.218,0.026,17.525,0.062,17.578,0.124,UHS DR3,,,,140.0,3.4,-20.4,3.4,UHS DR3,141.5,22.3,24.3,T6,,211022.0,SpeX Prism,Faherty & Calamari,"Borvo, Tom Bickle, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,210312.0,26.0,,,
2055+8551,J205501.61+855100.4,13.0,L3gamma,2,y,NewDisc,check L6g,,,k,,,EastonH,EastonH,2731.0,DONE,L6,,40.3 pc,20:55:01.61, 85:51:00.4,J205501.61+855100.4,313.7567164,85.8501157,,,,,,,,14.457,0.015,14.05,0.012,,,18.319,0.0,16.521,0.0,15.178,0.163,2MASS reject,,,,198.1,3.4,143.0,3.4,unTimely (Adam),244.3,46.7,16.3,L6,"very red, matches gamma",230710.0,Keck NIRES,Burgasser & co.,"Dan Caselden, Sam Goodman, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,16.0,,,
2116+1555,J211633.29+155532.3,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,4177.0,DONE,L4,42.6 pc,35.9 pc,21:16:33.29, 15:55:32.3,J211633.29+155532.3,319.1387273,15.9256349,,,,,,,,13.693,0.013,13.387,0.011,,,15.873,0.009,15.01,0.009,14.246,0.008,UHS DR3,26.662,1.502,GaiaDR3,168.1,1.6,-232.3,1.2,GaiaDR3,286.7,51.0,14.0,L4,,240619.0,SpeX Prism,Rothermich,"mar.bil, andy_arg",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,231121.0,14.0,,,L4.5 phototype in Schneider+2016
2119+2315,J211951.90+231558.7,11.0,L1,1,d,NewDisc,,,,k,,,EastonH,EastonH,1386.0,DONE,L1,47.7 pc,44.2 pc,21:19:51.91, 23:15:58.8,J211951.90+231558.7,319.966289,23.2663228,,,,,,,,13.627,0.014,13.448,0.011,17.475,0.01,15.409,0.007,14.714,0.064,14.062,0.007,"UHS DR3, 2MASS (H), PS1",23.467,0.69,GaiaDR3,-38.6,0.7,-95.2,0.6,GaiaDR3,102.7,20.7,12.0,L1,,230704.0,SpeX Prism,Calamari ,"peter jalowiczor, Melina ThÈvenot, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,OK,25.9,90.2,CUMA,CUMA,191027.0,11.0,,YMG,
2134+3838,J213422.26+383852.3,13.5,L3.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,979.0,DONE,L4,32.6 pc,29.8 pc,21:34:22.27, 38:38:52.3,J213422.26+383852.3,323.5927721,38.6478703,,,,,,,,13.194,0.016,12.986,0.012,17.499,0.015,15.292,0.006,14.438,0.006,13.655,0.005,UHS DR3,34.477,0.744,GaiaDR3,117.5,0.6,-231.4,0.7,GaiaDR3,259.5,35.7,14.9,L4,,180930.0,SpeX Prism,Faherty students,"NicholastheElder, Hugo A. Durantini Luca (Shigeru), Melina ThÈvenot, Karl Selg-Mann",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,14.0,,,
2134+4853,J213403.47+485319.6,12.0,L2,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,3654.0,DONE,L4,60.4 pc,54.9 pc,21:34:03.47, 48:53:19.7,J213403.47+485319.6,323.5144746,48.8888052,,,,,,,,14.511,0.013,14.312,0.015,,,16.634,0.009,15.793,0.008,15.075,0.011,UKIDSS GPS,,,,78.6,5.0,28.3,5.2,unTimely (Adam),83.5,21.7,14.0,L4,,220520.0,SpeX Prism,Hamlet,Plane Party,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,220422.0,14.0,,,
2138-3138,J213838.77-313808.7,28.0,T8,1,d,maintain,,,,m,r,"same spec, no issues. keep for colors",AM20a,JDK21,258.0,DONE,T8,23.8 pc,20.5 pc,21:38:38.77,-31:38:08.7,J213838.77-313808.7,324.6615525,-31.6357544,,,,,,,,17.76,0.095,15.139,0.035,19.592,0.078,18.624,0.06,,,,,VHS,,,,542.0,34.0,-325.0,35.0,AM20a,632.0,61.4,28.0,T8,,191028.0,Keck NIRES,Burgasser et al.,"touches, stevnbak, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,28.0,,,catWISE Spitzer
2146-2408,J214628.88-240821.1,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,722.0,DONE,L3,58.7 pc,53.4 pc,21:46:28.88,-24:08:21.2,J214628.88-240821.1,326.6203402,-24.1392205,,,,,,,,14.374,0.016,14.093,0.017,17.464,0.017,16.221,0.009,15.752,0.144,14.816,0.011,"VHS, 2MASS (H)",,,,59.3,3.9,-132.0,3.9,PS1 (Adam),144.8,36.7,16.0,L3,blue,240619.0,SpeX Prism,Rothermich,"wpendrill, Melina T",SIMBAD,VizieR,FC,GSA,wiseview,OK,40.0,86.5,ABDMG,ABDMG,180629.0,13.0,,YMG,
2150-7520,J215018.64-752053.9,28.0,T8,1,d,maintain,,,,m,,,JF20,JF20,893.0,DONE,T8,18.7 pc,27.6 pc,21:50:18.65,-75:20:53.9,J215018.64-752053.9,327.5776984,-75.3483061,,,,,,,,17.824,0.091,15.783,0.044,18.527,0.129,18.096,0.104,,,,,VHS,,,,876.0,45.0,-278.0,45.0,JF20,919.1,120.2,27.1,T8,red?,181201.0,FIRE Prism,Faherty,"planetsam, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,28.0,,COMOVER,"comoving with 2MASS J21501592-7520367 (L1); gaia data from companion; Spectral type from W2 mag and Gaia parallax, BYW Spitzer"
2157-3243,J215757.62-324339.7,22.5,T2.5,2,d,NewDisc,,,,k,,,EastonH,EastonH,2789.0,DONE,T2.5,29.0 pc,31.0 pc,21:57:57.63,-32:43:39.8,J215757.62-324339.7,329.490117,-32.7277116,,,,,,,,15.442,0.021,14.618,0.024,17.965,0.024,16.814,0.016,16.573,0.272,16.054,0.035,"VHS, 2MASS reject (H)",,,,267.1,12.6,-155.9,12.5,unTimely (Adam),309.2,45.4,22.1,T2.5,low-s/n,210910.0,SpeX Prism,"Jackie,Emily,Austin","Dan Caselden, Arttu Sainio, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,22.5,CATWISE,,
2202-2732,J220217.75-273256.9,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,727.0,DONE,L2,45.4 pc,38.6 pc,22:02:17.76,-27:32:56.9,J220217.75-273256.9,330.5739939,-27.5491518,,,,,,,,13.567,0.015,13.262,0.012,16.723,0.006,15.442,0.003,14.67,0.003,14.032,0.003,VIKING,18.525,1.05,GaiaDR3,17.6,1.0,-192.8,0.8,GaiaDR3,193.6,49.5,12.8,L2,,180930.0,SpeX Prism,Faherty students,"Melina ThÈvenot, wpendrill, Sam Goodman, Herakles",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,12.0,,,
2218+1146,J221859.41+114642.7,26.5,T6.5,1,d,maintain,,,,m,r,keep for colors,AM20b,JDK23,264.0,DONE,T7,29.6 pc,23.8 pc,22:18:59.41, 11:46:42.8,J221859.41+114642.7,334.7475589,11.7785419,,,,,,,,17.822,0.103,15.034,0.029,,,17.96,0.03,18.239,0.099,18.95,0.05,"Sandy/Gemini, UHS DR3 (H)",,,,224.0,31.0,-267.0,33.0,AM20b,348.5,39.4,27.5,T7,pec,200707.0,Keck NIRES,"Burgasser, Theissen, Gerasimov","karmeliet, Planetsam, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,27.0,,,"found previously by Aaron, BYW Spitzer, SpT from Spitzer color. Previously a YMG candidate but not anymore."
2229+3118,J222944.68+311855.5,14.0,L4,1,d,NewDisc,check youth. in YMG,,,k,,,EastonH,EastonH,2811.0,DONE,L5 ,46.3 pc,51.7 pc,22:29:44.68, 31:18:55.6,J222944.68+311855.5,337.4361838,31.3154337,,,,,,,,14.643,0.016,14.372,0.017,,,16.501,0.015,15.762,0.013,15.041,0.016,UHS DR3,,,,61.2,1.9,-79.4,1.9,UHS DR3,100.2,24.5,15.4,L5 ,blue,240812.0,SpeX Prism,"Rothermich, Bickle",Dan Caselden,SIMBAD,VizieR,FC,GSA,wiseview,OK,44.3,94.0,ABDMG,ABDMG,201027.0,15.0,,YMG,
2243-1606,J224349.27-160624.0,24.0,T4,1,d,NewDisc,,,,k,,,EastonH,EastonH,557.0,DONE,T4,27.0 pc,31.5 pc,22:43:49.27,-16:06:24.0,J224349.27-160624.0,340.9552973,-16.1066718,,,,,,,,15.961,0.028,14.863,0.027,17.9,0.025,16.552,0.014,,,16.321,0.043,VHS,,,,92.4,11.3,-76.8,11.3,PS1 (Adam),120.1,17.9,23.2,T4,not obviously young,201022.0,Keck NIRES,Burgasser,"Dan+Guillaume, Sam Goodman, MartinKb, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,24.0,,,in ESO archive as quasar candidate. Previously a YMG candidate but not anymore.
2246-0609,J224601.08-060947.9,11.0,L1beta,1,y,NewDisc,check idx/ymg,,,k,,,EastonH,EastonH,1149.0,DONE,L1,48.8 pc,41.9 pc,22:46:01.08,-06:09:47.9,J224601.08-060947.9,341.5045099,-6.1633155,,,,,,,,13.56,0.013,13.336,0.012,16.736,0.011,15.459,0.006,14.636,0.006,13.989,0.007,VHS,26.542,1.059,GaiaDR3,195.8,1.6,-63.1,1.1,GaiaDR3,205.7,36.7,12.5,L1,red,240619.0,SpeX Prism,Rothermich,"Sam Goodman, Borvo, Herakles, jean marc gantier, mar.bil",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,11.0,,,in LaTE-MoVeRS
2251-4607,J225146.07-460704.9,13.0,sdL3,2,sd,NewDisc,,,,k,,,EastonH,EastonH,1507.0,DONE,L3.5,134.8 pc,139.1 pc,22:51:46.07,-46:07:05.0,J225146.07-460704.9,342.9419631,-46.1180526,,,,,,,,16.951,0.047,16.246,0.071,,,18.187,0.048,18.39,0.122,18.292,0.226,VHS,,,,201.1,8.2,-1013.7,8.1,NSC (Adam),1033.5,681.6,23.1,L3.5,sd,230630.0,FIRE Prism,"Jackie, Austin R.","Dan & Guillaume, Sam Goodman, Les Hamlet, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,13.5,,,
2314+6939,J231403.13+693935.2,17.0,L7,1,d,maintain,,,,m,r,"same spec, keep for colors",JDK23,JDK23,486.0,DONE,L7,17.4 pc,16.9 pc,23:14:03.13, 69:39:35.2,J231403.13+693935.2,348.5130581,69.6597914,,,,,,,,12.797,0.012,12.379,0.009,17.448,0.008,15.296,0.051,14.232,0.05,13.675,0.05,"2MASS, PS1",43.004,0.905,GaiaDR3,254.9,1.3,-117.0,1.2,GaiaDR3,280.5,30.9,17.5,L7,blue,180616.0,SpeX Prism,Faherty,"stevnbak, Melina ThÈvenot, Sam Goodman, Karl Selg-Mann, Austin Rothermich, Herakles",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,17.0,,,
2324+5035,J232453.81+503525.6,12.0,L2,1,d,NewDisc,why goodstuff say L7?,,,k,,,EastonH,EastonH,1152.0,DONE,L7,36.0 pc,37.1 pc,23:24:53.81, 50:35:25.6,J232453.81+503525.6,351.2242291,50.5904489,,,,,,,,14.364,0.014,14.094,0.014,19.2,0.033,16.874,0.019,15.841,0.013,14.938,0.015,UHS DR3,,,,187.0,1.8,59.3,1.8,UHS DR3,196.2,34.5,15.6,L7,,201022.0,SpeX Prism,Faherty & Calamari,Vidar87,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,17.0,,,"Discovered in Schneider+2017, but no spectral type given. Previously a YMG candidate but not anymore."
2331-0504,J233120.22-050427.7,8.0,d/sdM8,1,sd,NewDisc,,,,k,,,EastonH,EastonH,1153.0,DONE,M7,691.4 pc,132.4 pc,23:31:20.23,-05:04:27.8,J233120.22-050427.7,352.8342837,-5.0743806,,,,,,,,14.082,0.013,13.922,0.015,16.246,0.008,15.368,0.005,14.961,0.007,14.661,0.009,VHS,15.729,0.447,GaiaDR3,536.3,0.6,-307.9,0.6,GaiaDR3,618.4,186.4,10.0,M7,appears to be slightly metal poor,201022.0,Keck NIRES,Burgasser,"NibiruX, Austin Rothermich, Melina Thevenot, Sam Goodman, Guoyou Sun, Herakles",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,7.0,,,in MoVeRS; LaTE-MoVeRS; Gemini Archive; SpT based on Gaia parallax
2331+6443,J233135.66+644356.5,8.0,M8,1,d,maintain,,,,m,r,"same spec, keep for colors",JDK23,JDK23,990.0,DONE,M9,27.3 pc,20.2 pc,23:31:35.67, 64:43:56.6,J233135.66+644356.5,352.8986051,64.7323878,,,,,,,,11.601,0.01,11.352,0.008,15.396,0.002,13.378,0.026,12.612,0.032,12.059,0.028,"2MASS, PS1",33.633,0.641,GaiaDR3,105.1,0.7,-19.2,0.7,GaiaDR3,106.9,15.1,11.7,M9,M9 (+T?),181125.0,SpeX Prism,Faherty,Melina ThÈvenot,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,9.0,,,
2332-3018,J233228.09-301831.8,25.0,T5,1,d,NewDisc,,,,k,,,EastonH,EastonH,276.0,DONE,T4,35.0 pc,38.4 pc,23:32:28.10,-30:18:31.9,J233228.09-301831.8,353.1170653,-30.3088588,,,,,,,,16.972,0.051,15.295,0.036,18.17,0.015,17.116,0.007,17.104,0.014,17.142,0.035,VIKING,,,,625.0,6.5,-472.3,6.5,VIKING (Adam),783.4,142.5,25.0,T4,strange spectrum,200707.0,Keck NIRES,"Burgasser, Theissen, Gerasimov","telmahsel, NibiruX, Arttu Sainio, Tom Bickle, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,24.0,,POSSIBLE_Y,Also YMG; Attempted with FIRE by Popinchalk
2338-3854,J233819.49-385421.2,20.0,T0,1,d,maintain,,,,m,r,"same spec, keep for colors",JDK23,JDK23,2864.0,DONE,T0,19.0 pc,20.3 pc,23:38:19.49,-38:54:21.2,J233819.49-385421.2,354.5812254,-38.9058892,,,,,,,,13.986,0.015,13.359,0.011,,,16.126,0.006,15.175,0.081,14.708,0.008,"VHS, 2MASS (H)",,,,-65.1,3.0,-36.7,3.1,unTimely (Adam),74.7,7.2,18.7,T0,,210910.0,SpeX Prism,"Jackie,Emily,Austin","Dan Caselden, Les Hamlet",SIMBAD,VizieR,FC,GSA,wiseview,OK,25.9,98.4,CUMA,CUMA,201027.0,20.0,,YMG,
2344-4755,J234426.81-475502.6,25.5,T5.5,1,d,maintain,,,,m,r,"same spec, keep for colors",JDK21,JDK21,992.0,DONE,T5.5,17.3 pc,15.5 pc,23:44:26.81,-47:55:02.7,J234426.81-475502.6,356.1117157,-47.9174039,,,,,,,,14.872,0.021,13.635,0.017,,,15.851,0.006,16.042,0.013,15.752,0.018,VHS,,,,40.0,4.3,219.7,4.4,NSC DR2,223.3,16.4,24.1,T5.5,,181201.0,FIRE Prism,Faherty,"Sam Goodman, Arttu Sainio, Borvo, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,25.5,,,
